"week","id","scheduled","home_team","away_team","home_points","away_points","home_total_rushing_yards","away_total_rushing_yards","home_total_passing_yards","away_total_passing_yards"
"5","c5fffdfc-fc76-425c-a643-58d5d907c217","2020-10-11T20:05:00+00:00","49ers","Dolphins",17,43,131,94,171,350
"5","dc223e91-352a-4e06-b4bb-8d1f841ea7b7","2020-10-12T00:20:00+00:00","Seahawks","Vikings",27,26,124,201,217,249
"5","e11806ff-bed5-4a22-b16e-db273159993f","2020-10-11T17:00:00+00:00","Football Team","Rams",10,30,38,129,111,309
"5","e1d7ba01-3298-4c00-81ab-3559f6b2f44b","2020-10-13T23:00:00+00:00","Titans","Bills",42,16,139,95,195,285
"5","e3af7489-9ba8-4e0d-be16-6a111885859e","2020-10-11T20:25:00+00:00","Browns","Colts",32,23,124,68,265,243
"5","ff085ba7-2a09-4735-8672-7667a733f265","2020-10-11T17:00:00+00:00","Jets","Cardinals",10,30,123,127,195,380
"5","ffadf608-52e9-4055-95ac-d5bafc1cc497","2020-10-11T17:00:00+00:00","Texans","Jaguars",30,14,129,75,359,301
"6","0c475fd9-3118-42af-a5ea-71ab0e922fad","2020-10-18T20:25:00+00:00","Buccaneers","Packers",38,10,158,94,166,160
"6","26c94e81-2875-441b-a5bb-e5f545bf4099","2020-10-18T17:00:00+00:00","Titans","Texans",42,36,263,92,366,335
"6","354151c3-fded-48aa-8ade-cc49dff33efc","2020-10-18T17:00:00+00:00","Giants","Football Team",20,19,132,86,112,280
"6","4e62887f-568b-4866-9710-3e32b58ebeea","2020-10-18T17:00:00+00:00","Colts","Bengals",31,27,59,98,371,313
"6","5696df85-8466-42e9-833b-f4cafc4760aa","2020-10-18T17:00:00+00:00","Vikings","Falcons",23,40,32,99,343,371
"6","5c34c41c-79c0-438c-a8d1-9826e12fffc4","2020-10-18T20:05:00+00:00","Dolphins","Jets",24,0,110,115,200,186
"6","64979b5f-1b5d-46a8-981c-6333863563ab","2020-10-18T17:00:00+00:00","Panthers","Bears",16,23,112,63,216,198
"6","6b267cea-e497-49fc-8bf5-83fb67989d35","2020-10-19T00:20:00+00:00","49ers","Rams",24,16,122,113,268,198
"6","6dce8d87-6110-4a6d-8aef-37640ab48fc6","2020-10-20T00:15:00+00:00","Cowboys","Cardinals",10,38,97,261,266,188
"6","713998b4-1268-4263-9f8d-04de4234e0e9","2020-10-18T17:00:00+00:00","Jaguars","Lions",16,34,44,180,243,223
"6","954d5f93-0321-48a7-bf70-4c90dc377109","2020-10-18T17:00:00+00:00","Steelers","Browns",38,7,129,75,168,165
"6","d51b4dd4-2729-49a8-9ae8-e0acca31bcdd","2020-10-19T21:00:00+00:00","Bills","Chiefs",17,26,84,245,122,225
"6","efdef9c6-7cdc-4623-8cf3-1e28dd72e28e","2020-10-18T17:00:00+00:00","Patriots","Broncos",12,18,117,135,195,189
"6","f478f156-43d2-4b8e-af27-4e66b960a335","2020-10-18T17:00:00+00:00","Eagles","Ravens",28,30,194,182,213,186
"7","0cee866d-8e01-4362-ab86-69d7057d8e59","2020-10-25T17:00:00+00:00","Jets","Bills",10,18,100,126,120,307
"7","0d0ad264-062e-4373-b4c2-f5eeccd5ac83","2020-10-25T17:00:00+00:00","Titans","Steelers",24,27,82,94,220,268
"7","243e464c-68f9-4ca0-9cfb-ac58f48038a0","2020-10-25T20:05:00+00:00","Raiders","Buccaneers",20,45,76,85,284,369
"7","25ebd230-7a0a-499d-833f-461da07aebbc","2020-10-25T17:00:00+00:00","Texans","Packers",20,35,79,96,309,283
"7","4ffbe30a-8ae2-461d-b81b-18f6aad990d1","2020-10-26T00:20:00+00:00","Cardinals","Seahawks",37,34,159,200,360,388
"7","62cc744c-a689-46ac-9eea-ad72a64d8442","2020-10-25T20:25:00+00:00","Broncos","Chiefs",16,43,177,101,254,213
"7","6b74b6c3-0208-4e22-9df5-0e52a14ff2e5","2020-10-23T00:20:00+00:00","Eagles","Giants",22,21,96,160,359,187
"7","97455ec9-779e-46c8-aefd-75b1e2db1288","2020-10-25T20:25:00+00:00","Patriots","49ers",6,33,94,197,162,277
"7","afd03f7f-1825-4726-9e1a-0760f30a3844","2020-10-25T20:25:00+00:00","Chargers","Jaguars",39,29,135,140,351,173
"7","e4509125-8575-41f9-9ff4-8858661c359f","2020-10-25T17:00:00+00:00","Bengals","Browns",34,37,81,82,422,316
"7","e7996a4e-35b2-4d20-b1c9-0016098e5140","2020-10-25T17:00:00+00:00","Saints","Panthers",27,24,138,37,287,254
"7","e901c88a-549e-43a7-be17-a9c0ffb59a5f","2020-10-27T00:15:00+00:00","Rams","Bears",24,10,160,49,220,261
"7","eb40fc37-7841-4e32-a896-5299262c2c43","2020-10-25T17:00:00+00:00","Falcons","Lions",22,23,66,64,338,340
"7","ee8ff250-6c30-46cf-827c-64165d3c6d39","2020-10-25T17:00:00+00:00","Football Team","Cowboys",25,3,208,83,194,114
"8","24caf099-339f-4805-81af-32f26a7ba58f","2020-11-01T18:00:00+00:00","Bengals","Titans",31,20,118,218,249,233
"8","5ecc9563-ff79-4388-812b-692f66f30e43","2020-11-01T18:00:00+00:00","Chiefs","Jets",35,9,50,93,446,133
